comparison_id,claim,support_signal,contradiction_signal,missing_control,risk,recommended_next_experiment,status,priority,training_label,evidence_json,source
C10_KNOWN_OBSERVABLE_RESIDUAL,discovery-relevant signals must survive known-observable baselines,"residual_status=RESIDUAL_SIGNAL_REMAINS, agreement=0.4102, surrogate_acc=0.3815, logit_r2_mean=0.5676, residual_rel=0.3845",simple surrogate explains some logit variance but low model agreement means decision structure is not reproduced,richer residual v2 / heldout / cross-model,v1 uses simple linear/ridge known observables; richer ECF/EFP/tau features may explain more,add richer pair/ECF-like observables and run class-specific head gradients,RESIDUAL_SIGNAL_REMAINS_NEEDS_RICHER_V2_HELDOUT,P0,residual_signal_remains_v1_richer_v2_required,"{""ok"": true, ""checkpoint"": ""local_checkpoints/part/ParticleNet_kinpid.pt"", ""mode"": ""kinpid"", ""n_events"": 2560, ""train_n"": 1792, ""test_n"": 768, ""model_acc_test"": 0.7708333333333334, ""model_acc_all"": 0.757421875, ""known_observable_surrogate_acc"": 0.3815104166666667, ""known_observable_agreement_with_model"": 0.41015625, ""observable_label_acc"": 0.4127604166666667, ""logit_r2_mean"": 0.5675867575303339, ""logit_r2_min"": 0.3018847239922827, ""logit_r2_max"": 0.6940282366829218, ""residual_rel_mean"": 0.3845167049044765, ""logit_mse"": 11.0909102946264, ""status"": ""RESIDUAL_SIGNAL_REMAINS"", ""n_features"": 57, ""top_features"": [{""feature"": ""feat4_ptw"", ""coef_norm"": 123.33468656935807}, {""feature"": ""pt_weighted_deltaR"", ""coef_norm"": 62.01087989862158}, {""feature"": ""pt_weighted_dR1"", ""coef_norm"": 62.01087989782794}, {""feature"": ""log_jet_energy"", ""coef_norm"": 28.520366774896367}, {""feature"": ""feat1_ptw"", ""coef_norm"": 27.410968060469592}, {""feature"": ""feat3_ptw"", ""coef_norm"": 26.167130376444245}, {""feature"": ""feat2_ptw"", ""coef_norm"": 22.445257832407822}, {""feature"": ""feat1_mean"", ""coef_norm"": 22.351716996037315}, {""feature"": ""feat0_ptw"", ""coef_norm"": 18.932066666336258}, {""feature"": ""feat3_mean"", ""coef_norm"": 17.2607352002511}, {""feature"": ""mean_deltaR"", ""coef_norm"": 13.087419237026149}, {""feature"": ""feat4_mean"", ""coef_norm"": 12.94487865206014}, {""feature"": ""pt_weighted_dR2"", ""coef_norm"": 12.078204515695552}, {""feature"": ""lead_pt_frac"", ""coef_norm"": 9.380312608515837}, {""feature"": ""lead_e_frac"", ""coef_norm"": 8.22120903291797}, {""feature"": ""log_jet_mass"", ""coef_norm"": 7.212143885782393}, {""feature"": ""pt2_concentration"", ""coef_norm"": 6.215506643030422}, {""feature"": ""log_nparticles"", ""coef_norm"": 5.795547396269179}, {""feature"": ""pt_weighted_dR3"", ""coef_norm"": 5.182740337519544}, {""feature"": ""log_jet_pt"", ""coef_norm"": 4.9099663434557375}, {""feature"": ""feat0_mean"", ""coef_norm"": 4.629973006069533}, {""feature"": ""feat2_mean"", ""coef_norm"": 4.494028965931633}, {""feature"": ""top16_pt_frac"", ""coef_norm"": 3.071761799000944}, {""feature"": ""top8_pt_frac"", ""coef_norm"": 2.8837321471903907}, {""feature"": ""charge_abs_sum"", ""coef_norm"": 2.628709602203044}], ""missing"": [], ""unexpected"": [], ""files"": [""/home/maxwelhelp/Рабочий стол/jetclass_tiny_balanced/HToBB_000.root"", ""/home/maxwelhelp/Рабочий стол/jetclass_tiny_balanced/HToCC_000.root"", ""/home/maxwelhelp/Рабочий стол/jetclass_tiny_balanced/HToGG_000.root"", ""/home/maxwelhelp/Рабочий стол/jetclass_tiny_balanced/HToWW2Q1L_000.root"", ""/home/maxwelhelp/Рабочий стол/jetclass_tiny_balanced/HToWW4Q_000.root"", ""/home/maxwelhelp/Рабочий стол/jetclass_tiny_balanced/TTBarLep_000.root"", ""/home/maxwelhelp/Рабочий стол/jetclass_tiny_balanced/TTBar_000.root"", ""/home/maxwelhelp/Рабочий стол/jetclass_tiny_balanced/WToQQ_000.root"", ""/home/maxwelhelp/Рабочий стол/jetclass_tiny_balanced/ZJetsToNuNu_000.root"", ""/home/maxwelhelp/Рабочий стол/jetclass_tiny_balanced/ZToQQ_000.root""]}",
C13_PER_FILE_HELDOUT_STABILITY,relations should survive different ROOT files and tar parts,snapshots=15 but no per-file heldout breakdown,per-file heldout missing,per-file/per-tar-part stability report,same extracted tiny files can fake stable patterns,run stream over more ROOT files and compare head/rule signals per file and per class,NEEDS_HELDOUT,P0,per_file_heldout_required,{},
C14_ORDERING_VS_PHYSICAL_COORDINATE,particle0 dominance must be separated from particle ordering/sorting,order control available: random/reverse/move controls preserve predictions; max_random_shuffle_flip=0.0000,none at prediction level; small logit differences may still have outliers,heldout / richer residual v2,array-index shortcut risk is strongly reduced; leading-core residual remains after simple surrogate,run per-file heldout and richer residual v2; optionally inspect max-logit-diff outliers,ORDER_INDEX_ARTIFACT_REDUCED_RESIDUAL_REMAINS_NEEDS_HELDOUT,P0,order_artifact_reduced_residual_remains_heldout_required,"{""src"": ""pattern:particle0"", ""dst"": ""hypothesis:AH1"", ""relation_type"": ""pattern_supports_hypothesis"", ""support"": ""120"", ""strength_sum"": ""24.388283495101206"", ""max_strength"": ""5.027756214141846"", ""lift_like"": ""1.1511627906976745"", ""confidence"": ""MEDIUM"", ""risk"": ""may be leading-particle shortcut"", ""next_control"": ""remove particle0 / keep only particle0 / top-k controls"", ""evidence"": ""pattern:particle0 dominates top particle stream"", ""mean_strength"": ""0.20323569579251005"", ""relation_signal"": ""0.9288178736074759""}",
C15_DISCOVERY_READINESS_SCORE,"a hypothesis is discovery-relevant only after controls, heldout, residual, and cross-model tests",p0_missing_count=4 readiness=method_debug,many P0 controls missing,"C13_PER_FILE_HELDOUT_STABILITY, C2_WIDE_PATTERN_VS_ROUTE_TRACE, C5_CLASS_SIGNATURE_VS_CLASS_SPECIFIC_GRADIENT, C8_CLASS_CONCENTRATION_VS_IMBALANCE",correlation-only relation is not a discovery claim,complete P0 controls before claiming physics/discovery relevance,METHOD_DEBUG_NOT_DISCOVERY_READY,P0,discovery_readiness_gate,"{""missing_p0"": [""C13_PER_FILE_HELDOUT_STABILITY"", ""C2_WIDE_PATTERN_VS_ROUTE_TRACE"", ""C5_CLASS_SIGNATURE_VS_CLASS_SPECIFIC_GRADIENT"", ""C8_CLASS_CONCENTRATION_VS_IMBALANCE""]}",
C16_BIG_STREAM_READINESS,large stream should run with summaries and known P0 controls tracked,current_snapshots=15 stream_events=6795,large stream without particle0/order controls may only amplify shortcut evidence,run sampled large stream plus immediately run controls,big data can make wrong shortcut look very confident,"run staged large stream: 64 smoke -> 256 -> 512/1024, then particle0/top-k controls",RUN_SAMPLED_LARGE_STREAM_BUT_PRIORITIZE_CONTROLS,P0,big_stream_staged_run,"{""snapshots"": 15, ""events"": 6795}",
C1_STREAM_RELATION_VS_MISSING_CONTROL,particle0/core_high_pt relation supports AH1 core-anchor hypothesis,"particle0 control: remove_particle0_drop=0.1941, random_remove1_drop=0.0146, ratio=13.3125, keep_only_particle0_acc=0.2027; order_max_random_flip=0.0000; residual_status=RESIDUAL_SIGNAL_REMAINS, agreement=0.4102, surrogate_acc=0.3815, logit_r2_mean=0.5676, residual_rel=0.3845","keep_only_particle0 is weak globally, so this is not a pure particle0-only shortcut",class-specific gradients / heldout / richer residual v2,"simple known-observable-only explanation is weakened, but richer ECF/EFP features and heldout are still needed","run class-specific all-head gradients, richer residual v2, and per-file heldout stability",SUPPORTED_BY_CONTROL_ORDER_AND_RESIDUAL_V1_NEEDS_CLASS_HEADS,P0,control_order_residual_supported_class_heads_required,"{""remove_particle0"": {""control"": ""remove_particle0"", ""n_events"": ""2560"", ""valid_particles_mean_after"": ""38.39883041381836"", ""acc"": ""0.563281238079071"", ""mean_conf"": ""0.708976149559021"", ""pred_flip_rate"": ""0.3160156309604645"", ""base_pred_logit_mean"": ""0.875388503074646"", ""ctrl_base_pred_logit_mean"": ""-2.6891095638275146"", ""delta_base_pred_logit_mean"": ""-3.5644980669021606"", ""acc_drop_from_baseline"": ""0.19414061307907104""}, ""keep_only_particle0"": {""control"": ""keep_only_particle0"", ""n_events"": ""2560"", ""valid_particles_mean_after"": ""1.0"", ""acc"": ""0.20273438096046448"", ""mean_conf"": ""0.8144317865371704"", ""pred_flip_rate"": ""0.794140636920929"", ""base_pred_logit_mean"": ""0.875388503074646"", ""ctrl_base_pred_logit_mean"": ""-25.6352481842041"", ""delta_base_pred_logit_mean"": ""-26.510636687278748"", ""acc_drop_from_baseline"": ""0.5546874701976776""}, ""random_remove1_acc_drop_mean"": 0.014583309491475424, ""random_remove1_flip_mean"": 0.062369791169961296, ""target_vs_random_drop_ratio"": 13.312520946809409, ""order_max_random_flip"": 0.0, ""confusion_atlas_available"": true, ""residual"": {""ok"": true, ""checkpoint"": ""local_checkpoints/part/ParticleNet_kinpid.pt"", ""mode"": ""kinpid"", ""n_events"": 2560, ""train_n"": 1792, ""test_n"": 768, ""model_acc_test"": 0.7708333333333334, ""model_acc_all"": 0.757421875, ""known_observable_surrogate_acc"": 0.3815104166666667, ""known_observable_agreement_with_model"": 0.41015625, ""observable_label_acc"": 0.4127604166666667, ""logit_r2_mean"": 0.5675867575303339, ""logit_r2_min"": 0.3018847239922827, ""logit_r2_max"": 0.6940282366829218, ""residual_rel_mean"": 0.3845167049044765, ""logit_mse"": 11.0909102946264, ""status"": ""RESIDUAL_SIGNAL_REMAINS"", ""n_features"": 57, ""top_features"": [{""feature"": ""feat4_ptw"", ""coef_norm"": 123.33468656935807}, {""feature"": ""pt_weighted_deltaR"", ""coef_norm"": 62.01087989862158}, {""feature"": ""pt_weighted_dR1"", ""coef_norm"": 62.01087989782794}, {""feature"": ""log_jet_energy"", ""coef_norm"": 28.520366774896367}, {""feature"": ""feat1_ptw"", ""coef_norm"": 27.410968060469592}, {""feature"": ""feat3_ptw"", ""coef_norm"": 26.167130376444245}, {""feature"": ""feat2_ptw"", ""coef_norm"": 22.445257832407822}, {""feature"": ""feat1_mean"", ""coef_norm"": 22.351716996037315}, {""feature"": ""feat0_ptw"", ""coef_norm"": 18.932066666336258}, {""feature"": ""feat3_mean"", ""coef_norm"": 17.2607352002511}, {""feature"": ""mean_deltaR"", ""coef_norm"": 13.087419237026149}, {""feature"": ""feat4_mean"", ""coef_norm"": 12.94487865206014}, {""feature"": ""pt_weighted_dR2"", ""coef_norm"": 12.078204515695552}, {""feature"": ""lead_pt_frac"", ""coef_norm"": 9.380312608515837}, {""feature"": ""lead_e_frac"", ""coef_norm"": 8.22120903291797}, {""feature"": ""log_jet_mass"", ""coef_norm"": 7.212143885782393}, {""feature"": ""pt2_concentration"", ""coef_norm"": 6.215506643030422}, {""feature"": ""log_nparticles"", ""coef_norm"": 5.795547396269179}, {""feature"": ""pt_weighted_dR3"", ""coef_norm"": 5.182740337519544}, {""feature"": ""log_jet_pt"", ""coef_norm"": 4.9099663434557375}, {""feature"": ""feat0_mean"", ""coef_norm"": 4.629973006069533}, {""feature"": ""feat2_mean"", ""coef_norm"": 4.494028965931633}, {""feature"": ""top16_pt_frac"", ""coef_norm"": 3.071761799000944}, {""feature"": ""top8_pt_frac"", ""coef_norm"": 2.8837321471903907}, {""feature"": ""charge_abs_sum"", ""coef_norm"": 2.628709602203044}], ""missing"": [], ""unexpected"": [], ""files"": [""/home/maxwelhelp/Рабочий стол/jetclass_tiny_balanced/HToBB_000.root"", ""/home/maxwelhelp/Рабочий стол/jetclass_tiny_balanced/HToCC_000.root"", ""/home/maxwelhelp/Рабочий стол/jetclass_tiny_balanced/HToGG_000.root"", ""/home/maxwelhelp/Рабочий стол/jetclass_tiny_balanced/HToWW2Q1L_000.root"", ""/home/maxwelhelp/Рабочий стол/jetclass_tiny_balanced/HToWW4Q_000.root"", ""/home/maxwelhelp/Рабочий стол/jetclass_tiny_balanced/TTBarLep_000.root"", ""/home/maxwelhelp/Рабочий стол/jetclass_tiny_balanced/TTBar_000.root"", ""/home/maxwelhelp/Рабочий стол/jetclass_tiny_balanced/WToQQ_000.root"", ""/home/maxwelhelp/Рабочий стол/jetclass_tiny_balanced/ZJetsToNuNu_000.root"", ""/home/maxwelhelp/Рабочий стол/jetclass_tiny_balanced/ZToQQ_000.root""]}}",v1
C2_WIDE_PATTERN_VS_ROUTE_TRACE,wide particle pattern may be secondary context rather than noise,relation_signal=0.7525254963492034 support=20 dst=hypothesis:T6_WIDE_SECONDARY_CONTEXT,none yet; route-neighbor trace missing,route-neighbor trace / causal route controls,"wide relation can be class imbalance, loose fragments, or sorting artifact",run route-neighbor trace for top all-head particles and wide non-particle0 particles,NEEDS_ROUTE_TRACE,P0,route_neighbor_trace_required,"{""src"": ""pattern:wide"", ""dst"": ""hypothesis:T6_WIDE_SECONDARY_CONTEXT"", ""relation_type"": ""pattern_supports_hypothesis"", ""support"": ""20"", ""strength_sum"": ""12.52285536233481"", ""max_strength"": ""3.573733329772949"", ""lift_like"": ""5.000000000000001"", ""confidence"": ""MEDIUM"", ""risk"": ""needs KNN neighbor and causal route controls"", ""next_control"": ""route-neighbor trace"", ""evidence"": ""wide particles support label_Zqq"", ""mean_strength"": ""0.6261427681167404"", ""relation_signal"": ""0.7525254963492034""}",v1
C5_CLASS_SIGNATURE_VS_CLASS_SPECIFIC_GRADIENT,Hqql/Tbl signature is strong in stream but global gradients are not class-specific,watcher_score=0.9625 state=HIGH,none yet; class-specific gradient missing,class-specific all-head gradients,global all-head gradient can hide class-specific roles,run class-specific all-head gradients for Hqql/Tbl/Tbqq/Wqq/Zqq,NEEDS_CLASS_SPECIFIC_TEST,P0,class_specific_gradient_required,"{""task_id"": ""T4_HQQL_TBL_SIGNATURE"", ""priority"": ""P0"", ""state"": ""HIGH"", ""score"": 0.9625, ""question"": ""Is the current stream dominated by Hqql/Tbl high-confidence events?"", ""next_action"": ""Run class-specific all-head gradients: Hqql, Tbl, Tbqq, Wqq, Zqq."", ""features_json"": ""{\""top_particles\"": 80, \""hqql_fraction\"": 0.875, \""tbl_fraction\"": 0.0875, \""hqql_tbl_fraction\"": 0.9625}""}",v1
C7_SAMPLE_SIZE_SCALING,signals must scale from small snapshots to larger streams,"distinct_n_events=[640, 2560, 5120, 10240] snapshots=15",multiple event scales available,,large stream can amplify shortcuts if controls are missing,"run stream cycles at SAMPLES_PER_FILE=64,256,512,1024 with HISTORY_COPY=1 and compare ranks/signals",SCALING_PARTIAL,P0,sample_size_scaling_required,"{""n_events"": [640, 2560, 5120, 10240], ""dynamics"": [{""run_index"": 0, ""source_path"": ""manifests/history/research_evidence_graph_20260616_040530.json"", ""generated_at_utc"": ""2026-06-16T04:05:30.121747+00:00"", ""n_nodes"": 1080, ""n_edges"": 1255, ""n_head_vectors"": 24, ""n_particle_vectors"": 959, ""baseline_acc"": 0.7574218511581421, ""n_events"": 2560}, {""run_index"": 1, ""source_path"": ""manifests/history/research_evidence_graph_20260616_041017.json"", ""generated_at_utc"": ""2026-06-16T04:10:17.558878+00:00"", ""n_nodes"": 1080, ""n_edges"": 1255, ""n_head_vectors"": 24, ""n_particle_vectors"": 959, ""baseline_acc"": 0.7574218511581421, ""n_events"": 2560}, {""run_index"": 2, ""source_path"": ""manifests/history/research_evidence_graph_20260616_041240.json"", ""generated_at_utc"": ""2026-06-16T04:12:40.863052+00:00"", ""n_nodes"": 814, ""n_edges"": 966, ""n_head_vectors"": 24, ""n_particle_vectors"": 710, ""baseline_acc"": 0.7718750238418579, ""n_events"": 640}, {""run_index"": 3, ""source_path"": ""manifests/history/research_evidence_graph_20260616_042436.json"", ""generated_at_utc"": ""2026-06-16T04:24:36.833330+00:00"", ""n_nodes"": 814, ""n_edges"": 966, ""n_head_vectors"": 24, ""n_particle_vectors"": 710, ""baseline_acc"": 0.7718750238418579, ""n_events"": 640}, {""run_index"": 4, ""source_path"": ""manifests/history/research_evidence_graph_20260616_042447.json"", ""generated_at_utc"": ""2026-06-16T04:24:47.422420+00:00"", ""n_nodes"": 814, ""n_edges"": 966, ""n_head_vectors"": 24, ""n_particle_vectors"": 710, ""baseline_acc"": 0.7718750238418579, ""n_events"": 640}, {""run_index"": 5, ""source_path"": ""manifests/history/research_evidence_graph_20260616_042512.json"", ""generated_at_utc"": ""2026-06-16T04:25:12.140529+00:00"", ""n_nodes"": 1076, ""n_edges"": 1246, ""n_head_vectors"": 24, ""n_particle_vectors"": 950, ""baseline_acc"": 0.7718750238418579, ""n_events"": 640}, {""run_index"": 6, ""source_path"": ""manifests/history/research_evidence_graph_20260616_042601.json"", ""generated_at_utc"": ""2026-06-16T04:26:01.675182+00:00"", ""n_nodes"": 1080, ""n_edges"": 1255, ""n_head_vectors"": 24, ""n_particle_vectors"": 959, ""baseline_acc"": 0.7574218511581421, ""n_events"": 2560}, {""run_index"": 7, ""source_path"": ""manifests/history/research_evidence_graph_20260616_042901.json"", ""generated_at_utc"": ""2026-06-16T04:29:01.473693+00:00"", ""n_nodes"": 1080, ""n_edges"": 1255, ""n_head_vectors"": 24, ""n_particle_vectors"": 959, ""baseline_acc"": 0.7574218511581421, ""n_events"": 2560}, {""run_index"": 8, ""source_path"": ""manifests/history/research_evidence_graph_20260616_043031.json"", ""generated_at_utc"": ""2026-06-16T04:30:31.493657+00:00"", ""n_nodes"": 1080, ""n_edges"": 1255, ""n_head_vectors"": 24, ""n_particle_vectors"": 959, ""baseline_acc"": 0.7574218511581421, ""n_events"": 2560}, {""run_index"": 9, ""source_path"": ""manifests/history/research_evidence_graph_20260616_050652.json"", ""generated_at_utc"": ""2026-06-16T05:06:52.665592+00:00"", ""n_nodes"": 2027, ""n_edges"": 2241, ""n_head_vectors"": 24, ""n_particle_vectors"": 1865, ""baseline_acc"": 0.7574218511581421, ""n_events"": 2560}]}",
C8_CLASS_CONCENTRATION_VS_IMBALANCE,Hqql/Tbl dominance may be real class signature or sampling bias,watcher_score=0.9625 state=HIGH,class-balanced/natural-distribution comparison missing,balanced-vs-natural stream comparison,balanced tiny subset can overstate class signatures; natural distribution can hide rare patterns,"run one balanced stream and one natural/random-file stream, compare class signatures",NEEDS_CLASS_DISTRIBUTION_CHECK,P0,class_distribution_check_required,"{""task_id"": ""T4_HQQL_TBL_SIGNATURE"", ""priority"": ""P0"", ""state"": ""HIGH"", ""score"": 0.9625, ""question"": ""Is the current stream dominated by Hqql/Tbl high-confidence events?"", ""next_action"": ""Run class-specific all-head gradients: Hqql, Tbl, Tbqq, Wqq, Zqq."", ""features_json"": ""{\""top_particles\"": 80, \""hqql_fraction\"": 0.875, \""tbl_fraction\"": 0.0875, \""hqql_tbl_fraction\"": 0.9625}""}",
