head_id,layer,group,channels,delta_pred_logit,kl,base_acc,patch_acc,acc_drop,role,question,semantic_hint,confidence,composite_lens,top_weight_projection_evidence,top_class_effects,next_test
L1_ch16:32,1,ch16:32,16:32,9.114623069763184,1.2542839050292969,0.7574219107627869,0.49335938692092896,0.2640625238418579,middle learned-neighborhood / route-composition head,Does this pseudo-head combine previous learned features into a class-separating particle-neighborhood answer?,"kinematic/energy, class-specific: label_Hbb, label_Hcc, label_Zqq","HIGH causal, MEDIUM semantic","Patch lens: zero EdgeConv L1 ch16:32 | Weight lens: source/input blocks -> output ch16:32 | Route lens: compact/wide KNN route stats -> this pseudo-head | Class lens: strongest affected classes = label_Hbb, label_Hcc, label_Zqq",WL3 output pseudo-head projection: Output group 16:32 carries 0.3578 of module weight energy. || WL2 input/source projection: Input slice 16:32 carries 0.3557 of module weight energy. || WL3 output pseudo-head projection: Output group 16:32 carries 0.3524 of module weight energy. || WL3 output pseudo-head projection: Output group 16:32 carries 0.3488 of module weight energy.,"label_Hbb: drop=14.3446, acc=0.2578 || label_Hcc: drop=12.5046, acc=0.1875 || label_Zqq: drop=11.1146, acc=0.0898 || label_Wqq: drop=10.5074, acc=0.0430 || label_H4q: drop=10.0451, acc=0.5273",Test route-width/leading-particle composite: compact/wide/top-pT routes -> L1 ch16:32 -> class contrast.
L0_ch24:32,0,ch24:32,24:32,2.3406918048858643,0.7447906732559204,0.7574219107627869,0.557812511920929,0.1996093988418579,early feature/geometry/PID reader,Does this pseudo-head convert raw particle features and local geometry into first-stage message evidence?,"kinematic/energy, class-specific: label_Hbb, label_Hcc, label_Hgg","MEDIUM causal, LOW/MEDIUM semantic","Patch lens: zero EdgeConv L0 ch24:32 | Weight lens: source/input blocks -> output ch24:32 | Physical feature lens: raw kin/PID/geometry -> this pseudo-head | Class lens: strongest affected classes = label_Hbb, label_Hcc, label_Hgg",WL3 output pseudo-head projection: Output group 24:32 carries 0.3864 of module weight energy. || WL3 output pseudo-head projection: Output group 24:32 carries 0.3478 of module weight energy. || WL2 input/source projection: Input slice 24:32 carries 0.3271 of module weight energy. || WL2 input/source projection: Input slice 24:32 carries 0.3261 of module weight energy.,"label_Hbb: drop=3.6554, acc=0.5039 || label_Hcc: drop=3.5842, acc=0.2383 || label_Hgg: drop=3.3949, acc=0.4922 || label_Zqq: drop=3.3818, acc=0.1836 || label_H4q: drop=3.3739, acc=0.5859",Activation-cluster this head and compare against random channel groups; then project its activation into class contrast directions.
L0_ch0:8,0,ch0:8,0:8,0.8533021211624146,0.4884199798107147,0.7574219107627869,0.5972656607627869,0.16015625,early feature/geometry/PID reader,Does this pseudo-head convert raw particle features and local geometry into first-stage message evidence?,"kinematic/energy, class-specific: label_Tbl, label_Hcc, label_Hbb","MEDIUM causal, LOW/MEDIUM semantic","Patch lens: zero EdgeConv L0 ch0:8 | Weight lens: source/input blocks -> output ch0:8 | Physical feature lens: raw kin/PID/geometry -> this pseudo-head | Class lens: strongest affected classes = label_Tbl, label_Hcc, label_Hbb",WL3 output pseudo-head projection: Output group 0:8 carries 0.4766 of module weight energy. || WL4 block interaction projection: Block 9:11->0:8 carries 0.3740 of module weight energy. || WL3 output pseudo-head projection: Output group 0:8 carries 0.3644 of module weight energy. || WL3 output pseudo-head projection: Output group 0:8 carries 0.3553 of module weight energy.,"label_Tbl: drop=1.9491, acc=0.7734 || label_Hcc: drop=1.5474, acc=0.4453 || label_Hbb: drop=1.2686, acc=0.3984 || label_Zqq: drop=1.2602, acc=0.3477 || label_Wqq: drop=0.9157, acc=0.3438",Activation-cluster this head and compare against random channel groups; then project its activation into class contrast directions.
L0_ch40:48,0,ch40:48,40:48,3.815220832824707,0.4932892322540283,0.7574219107627869,0.620312511920929,0.1371093988418579,early feature/geometry/PID reader,Does this pseudo-head convert raw particle features and local geometry into first-stage message evidence?,"kinematic/energy, class-specific: label_Hqql, label_Zqq, label_Wqq","MEDIUM causal, LOW/MEDIUM semantic","Patch lens: zero EdgeConv L0 ch40:48 | Weight lens: source/input blocks -> output ch40:48 | Physical feature lens: raw kin/PID/geometry -> this pseudo-head | Class lens: strongest affected classes = label_Hqql, label_Zqq, label_Wqq",WL3 output pseudo-head projection: Output group 40:48 carries 0.3866 of module weight energy. || WL2 input/source projection: Input slice 40:48 carries 0.3768 of module weight energy. || WL3 output pseudo-head projection: Output group 40:48 carries 0.3423 of module weight energy. || WL3 output pseudo-head projection: Output group 40:48 carries 0.3396 of module weight energy.,"label_Hqql: drop=5.6707, acc=0.7539 || label_Zqq: drop=5.1546, acc=0.0781 || label_Wqq: drop=5.0696, acc=0.3984 || label_Hcc: drop=3.8231, acc=0.2930 || label_H4q: drop=3.7930, acc=0.6797",Activation-cluster this head and compare against random channel groups; then project its activation into class contrast directions.
L0_ch48:56,0,ch48:56,48:56,1.3934763669967651,0.4175509512424469,0.7574219107627869,0.6214843988418579,0.13593751192092896,early feature/geometry/PID reader,Does this pseudo-head convert raw particle features and local geometry into first-stage message evidence?,"kinematic/energy, class-specific: label_H4q, label_Hcc, label_Hbb","MEDIUM causal, LOW/MEDIUM semantic","Patch lens: zero EdgeConv L0 ch48:56 | Weight lens: source/input blocks -> output ch48:56 | Physical feature lens: raw kin/PID/geometry -> this pseudo-head | Class lens: strongest affected classes = label_H4q, label_Hcc, label_Hbb",WL2 input/source projection: Input slice 48:56 carries 0.3956 of module weight energy. || WL3 output pseudo-head projection: Output group 48:56 carries 0.3568 of module weight energy. || WL3 output pseudo-head projection: Output group 48:56 carries 0.3555 of module weight energy. || WL2 input/source projection: Input slice 48:56 carries 0.3549 of module weight energy.,"label_H4q: drop=2.0118, acc=0.4414 || label_Hcc: drop=1.7808, acc=0.3438 || label_Hbb: drop=1.6748, acc=0.3828 || label_Hgg: drop=1.5961, acc=0.8047 || label_Tbqq: drop=1.5847, acc=0.6914",Activation-cluster this head and compare against random channel groups; then project its activation into class contrast directions.
L0_ch8:16,0,ch8:16,8:16,1.6804306507110596,0.3651539385318756,0.7574219107627869,0.6226562857627869,0.134765625,early feature/geometry/PID reader,Does this pseudo-head convert raw particle features and local geometry into first-stage message evidence?,"kinematic/energy, class-specific: label_Wqq, label_Hcc, label_Hbb","MEDIUM causal, LOW/MEDIUM semantic","Patch lens: zero EdgeConv L0 ch8:16 | Weight lens: source/input blocks -> output ch8:16 | Physical feature lens: raw kin/PID/geometry -> this pseudo-head | Class lens: strongest affected classes = label_Wqq, label_Hcc, label_Hbb",WL2 input/source projection: Input slice 8:16 carries 0.4536 of module weight energy. || WL3 output pseudo-head projection: Output group 8:16 carries 0.4241 of module weight energy. || WL3 output pseudo-head projection: Output group 8:16 carries 0.3584 of module weight energy. || WL2 input/source projection: Input slice 8:16 carries 0.3273 of module weight energy.,"label_Wqq: drop=2.3991, acc=0.6211 || label_Hcc: drop=2.3409, acc=0.1602 || label_Hbb: drop=2.0909, acc=0.7188 || label_Zqq: drop=1.9289, acc=0.4258 || label_Hqql: drop=1.9026, acc=0.8945",Activation-cluster this head and compare against random channel groups; then project its activation into class contrast directions.
L0_ch16:24,0,ch16:24,16:24,1.0691368579864502,0.36895546317100525,0.7574219107627869,0.629687488079071,0.12773442268371582,early feature/geometry/PID reader,Does this pseudo-head convert raw particle features and local geometry into first-stage message evidence?,"kinematic/energy, class-specific: label_Tbqq, label_Hgg, label_Zqq","MEDIUM causal, LOW/MEDIUM semantic","Patch lens: zero EdgeConv L0 ch16:24 | Weight lens: source/input blocks -> output ch16:24 | Physical feature lens: raw kin/PID/geometry -> this pseudo-head | Class lens: strongest affected classes = label_Tbqq, label_Hgg, label_Zqq",WL3 output pseudo-head projection: Output group 16:24 carries 0.4144 of module weight energy. || WL2 input/source projection: Input slice 16:24 carries 0.3697 of module weight energy. || WL4 block interaction projection: Block 22:26->16:24 carries 0.3275 of module weight energy. || WL2 input/source projection: Input slice 16:24 carries 0.3249 of module weight energy.,"label_Tbqq: drop=1.8746, acc=0.7383 || label_Hgg: drop=1.8032, acc=0.2422 || label_Zqq: drop=1.3137, acc=0.3867 || label_Wqq: drop=1.3008, acc=0.7344 || label_Hcc: drop=1.2524, acc=0.3398",Activation-cluster this head and compare against random channel groups; then project its activation into class contrast directions.
L1_ch112:128,1,ch112:128,112:128,3.263317108154297,0.38632702827453613,0.7574219107627869,0.641796886920929,0.11562502384185791,middle learned-neighborhood / route-composition head,Does this pseudo-head combine previous learned features into a class-separating particle-neighborhood answer?,"kinematic/energy, class-specific: label_Hbb, label_H4q, label_Hgg","MEDIUM causal, LOW/MEDIUM semantic","Patch lens: zero EdgeConv L1 ch112:128 | Weight lens: source/input blocks -> output ch112:128 | Route lens: compact/wide KNN route stats -> this pseudo-head | Class lens: strongest affected classes = label_Hbb, label_H4q, label_Hgg",WL2 input/source projection: Input slice 112:128 carries 0.3978 of module weight energy. || WL2 input/source projection: Input slice 112:128 carries 0.3728 of module weight energy. || WL3 output pseudo-head projection: Output group 112:128 carries 0.3662 of module weight energy. || WL3 output pseudo-head projection: Output group 112:128 carries 0.3647 of module weight energy.,"label_Hbb: drop=4.7396, acc=0.6328 || label_H4q: drop=4.6334, acc=0.6172 || label_Hgg: drop=4.5187, acc=0.6172 || label_Hcc: drop=4.3861, acc=0.3242 || label_Tbqq: drop=3.0648, acc=0.9336",Test route-width/leading-particle composite: compact/wide/top-pT routes -> L1 ch112:128 -> class contrast.
L0_ch56:64,0,ch56:64,56:64,0.610243558883667,0.22276146709918976,0.7574219107627869,0.6722656488418579,0.08515626192092896,early feature/geometry/PID reader,Does this pseudo-head convert raw particle features and local geometry into first-stage message evidence?,"kinematic/energy, class-specific: label_Hqql, label_H4q, label_Hgg","MEDIUM causal, LOW/MEDIUM semantic","Patch lens: zero EdgeConv L0 ch56:64 | Weight lens: source/input blocks -> output ch56:64 | Physical feature lens: raw kin/PID/geometry -> this pseudo-head | Class lens: strongest affected classes = label_Hqql, label_H4q, label_Hgg",WL2 input/source projection: Input slice 56:64 carries 0.3879 of module weight energy. || WL3 output pseudo-head projection: Output group 56:64 carries 0.3826 of module weight energy. || WL3 output pseudo-head projection: Output group 56:64 carries 0.3679 of module weight energy. || WL2 input/source projection: Input slice 56:64 carries 0.3398 of module weight energy.,"label_Hqql: drop=1.0867, acc=0.8633 || label_H4q: drop=1.0004, acc=0.4219 || label_Hgg: drop=0.8431, acc=0.6562 || label_Wqq: drop=0.6603, acc=0.4570 || label_Zqq: drop=0.6129, acc=0.5977",Activation-cluster this head and compare against random channel groups; then project its activation into class contrast directions.
L2_ch0:32,2,ch0:32,0:32,0.8878049254417419,0.1967892199754715,0.7574219107627869,0.677734375,0.07968753576278687,late aggregation / class-evidence head,Does this pseudo-head aggregate higher-level particle-neighborhood evidence before the classifier?,"kinematic/energy, class-specific: label_H4q, label_Hgg, label_Tbl","LOW causal, exploratory semantic","Patch lens: zero EdgeConv L2 ch0:32 | Weight lens: source/input blocks -> output ch0:32 | Class direction lens: this pseudo-head -> classifier class/contrast direction | Class lens: strongest affected classes = label_H4q, label_Hgg, label_Tbl",WL3 output pseudo-head projection: Output group 0:32 carries 0.3803 of module weight energy. || WL2 input/source projection: Input slice 0:32 carries 0.3585 of module weight energy. || WL3 output pseudo-head projection: Output group 0:32 carries 0.3517 of module weight energy. || WL2 input/source projection: Input slice 0:32 carries 0.3464 of module weight energy.,"label_H4q: drop=2.4325, acc=0.1680 || label_Hgg: drop=1.6845, acc=0.3906 || label_Tbl: drop=1.3911, acc=0.9766 || label_Hqql: drop=0.9546, acc=0.9375 || label_Hbb: drop=0.6631, acc=0.6250",Activation-cluster this head and compare against random channel groups; then project its activation into class contrast directions.
