suite,text,source,term,key_pos,T,pred_term_mean_on_key,predicted_mass_delta_sign,actual_mass_delta,actual_mass_delta_sign,sign_match,head_A_rel,head_Y_delta_rel,logit_rel,kl_orig_to_patch,top1_match,loss_delta
code,Write a Python function that reverses a linked list.,16:1,k_affine,0,11,7.025509357452393,-1,-0.054168522357940674,-1,True,0.11445553600788116,1.9841428995132446,0.009743882343173027,0.00026913441251963377,1.0,0.002621889114379883
code,Write a Python function that reverses a linked list.,16:1,k_affine,1,11,-5.519254684448242,1,0.0012836221176257823,1,True,0.002672698348760605,0.06993045657873154,0.001268116058781743,0.00010707429464673623,1.0,-0.0002963542938232422
code,Write a Python function that reverses a linked list.,16:1,k_affine,2,11,-4.9955010414123535,1,0.0015624282996213879,1,True,0.004334951750934124,0.11093965917825699,0.0014904573326930404,5.5953627452254295e-05,1.0,0.0016627311706542969
code,Write a Python function that reverses a linked list.,16:1,k_affine,3,11,-4.046314239501953,1,0.0013318674773472594,1,True,0.00500376895070076,0.10591442883014679,0.0015044016763567924,8.891253673937172e-05,1.0,-0.002017498016357422
code,Write a Python function that reverses a linked list.,16:1,k_affine,4,11,-6.4374098777771,1,0.0028542370373543235,1,True,0.010898318141698837,0.2251109927892685,0.0011683995835483074,6.319784006336704e-05,1.0,-0.0007386207580566406
code,Write a Python function that reverses a linked list.,16:1,k_affine,8,11,-5.3447041511535645,1,0.0009685590621302254,1,True,0.004226196091622114,0.09121989458799362,0.0007578565273433924,-8.497985959365906e-08,1.0,3.814697265625e-06
code,Write a Python function that reverses a linked list.,16:1,k_affine,10,11,-3.4592230319976807,1,2.2924710208371835e-05,1,True,0.0001075361724360846,0.0019819815643131733,0.0,4.647918672162632e-08,1.0,0.0
code,Implement binary search over a sorted list in Python.,16:1,k_affine,0,10,7.025712490081787,-1,-0.2835316061973572,-1,True,0.4181985557079315,8.08902359008789,0.03434240072965622,0.008192082867026329,1.0,0.015462875366210938
code,Implement binary search over a sorted list in Python.,16:1,k_affine,1,10,-4.485049724578857,1,0.011999531649053097,1,True,0.025892868638038635,0.639938473701477,0.00351921864785254,0.00017622995073907077,1.0,0.0042688846588134766
code,Implement binary search over a sorted list in Python.,16:1,k_affine,2,10,-6.804027080535889,1,0.029514469686546363,1,True,0.10668796300888062,2.522578716278076,0.008481639437377453,0.0005556726828217506,1.0,0.005445241928100586
code,Implement binary search over a sorted list in Python.,16:1,k_affine,3,10,-3.5571987628936768,1,0.005862158723175526,1,True,0.016211368143558502,0.3358481824398041,0.0017634592950344086,0.00010007198579842225,1.0,-0.0008647441864013672
code,Implement binary search over a sorted list in Python.,16:1,k_affine,4,10,-5.95179557800293,1,0.014458916677540401,1,True,0.037534091621637344,0.8338868021965027,0.003232633462175727,0.0004096421762369573,1.0,0.0016520023345947266
code,Implement binary search over a sorted list in Python.,16:1,k_affine,8,10,-4.179507732391357,1,0.001665689900619327,1,True,0.007328954990953207,0.14811652898788452,0.0012208117404952645,4.256423380866181e-06,1.0,-5.555152893066406e-05
code,Implement binary search over a sorted list in Python.,16:1,k_affine,9,10,-3.425558567047119,1,7.919286781543633e-05,1,True,0.0003543219936545938,0.00733618438243866,0.0,6.41284998437186e-08,1.0,0.0
code,Explain what this code does: for i in range(n): total += arr[i],16:1,k_affine,0,18,7.0278120040893555,-1,-0.1566370725631714,-1,True,0.25333651900291443,5.050930500030518,0.020795434713363647,0.011870104819536209,0.9411764740943909,0.0006811618804931641
code,Explain what this code does: for i in range(n): total += arr[i],16:1,k_affine,1,18,-4.62329626083374,1,0.0010458302895131055,1,True,0.0021384323481470346,0.04652934521436691,0.0016591647872701287,0.0001757823774823919,1.0,0.0005161762237548828
code,Explain what this code does: for i in range(n): total += arr[i],16:1,k_affine,2,18,-7.015882968902588,1,0.00767625722073717,1,True,0.028982335701584816,0.7703370451927185,0.003162530018016696,0.0002973625960294157,1.0,-0.0005297660827636719
code,Explain what this code does: for i in range(n): total += arr[i],16:1,k_affine,3,18,-4.2351861000061035,1,0.003554627444827929,1,True,0.014375786297023296,0.3571862578392029,0.001899870578199625,0.00019600405357778072,1.0,0.0007312297821044922
code,Explain what this code does: for i in range(n): total += arr[i],16:1,k_affine,4,18,-5.5721001625061035,1,0.0008913304761790641,1,True,0.0038853103760629892,0.07548585534095764,0.001558326999656856,0.00014204898616299033,1.0,-0.00025653839111328125
code,Explain what this code does: for i in range(n): total += arr[i],16:1,k_affine,8,18,-5.132161617279053,1,0.0067986223148182034,1,True,0.023218199610710144,0.515595555305481,0.0031075063161551952,0.00022875223658047616,1.0,0.0006246566772460938
code,Explain what this code does: for i in range(n): total += arr[i],16:1,k_affine,17,18,-6.927542686462402,1,0.0006208183198737061,1,True,0.0037251412868499756,0.08349122852087021,0.0,-2.86344800315419e-07,1.0,0.0
code,Find the bug in this Python code: def f(x): return x.append(1),16:1,k_affine,0,18,7.019129276275635,-1,-0.09098261594772339,-1,True,0.13437458872795105,2.415525197982788,0.009842738509178162,0.0026958889793604612,1.0,0.0008630752563476562
code,Find the bug in this Python code: def f(x): return x.append(1),16:1,k_affine,1,18,-3.4581494331359863,1,0.0010009650031861383,1,True,0.0026126718148589134,0.05543823912739754,0.0015418734401464462,0.0002344920503674075,1.0,0.0005311965942382812
code,Find the bug in this Python code: def f(x): return x.append(1),16:1,k_affine,2,18,-4.557304859161377,1,0.0007881337696744595,1,True,0.0026912668254226446,0.06826277822256088,0.0016828614752739668,0.0002683025086298585,1.0,0.0005609989166259766
code,Find the bug in this Python code: def f(x): return x.append(1),16:1,k_affine,3,18,-5.980569839477539,1,0.0028041798732374446,1,True,0.010535484179854393,0.2065495103597641,0.001555099617689848,0.00022217840887606144,1.0,0.0015666484832763672
