head_id,layer,channels,stage_role,pre_layer_state,reads,core_operation_steps,writes,class_axis,particle_interpretation,physics_interpretation,pseudocode,supporting_evidence,global_gate_abs,top_class_abs_grad,confidence_level,remaining_risks,next_tests,code_module,code_slice,code_output_shape,output_activation_mean_abs,output_top_class,output_class_contrast,output_particle0_top_rate,output_leading_pt_match_rate,output_top_logit_corr_class,output_top_logit_corr,output_role,output_interpretation,refined_pseudocode,route_role,inner_trace_activation_mean_abs,inner_trace_activation_max_abs,inner_trace_particle0_top_rate,inner_trace_leading_pt_match_rate,inner_conv_shapes,top_event_true_labels,top_event_pred_labels,top_event_particle0_rate,top_event_leading_rate,knn_contains_particle0_rate,knn_contains_leading_rate,knn_first_neighbor_modes,question_tags,route_aware_pseudocode,route_validation_status,residual_context
L0_ch40:48,0,40:48,L0 early local reader,raw particles + KNN edge coordinates,"pt/energy, deltaR, PID/charge, neighbor edge differences",build KNN edge features -> detect local core/radial/PID pattern -> write local evidence,local particle-edge features for L1,W/Z structured-prong axis,core/top-k content with KNN/secondary context; not literal order index,W/Z structured-prong axis; residual remains,"# L0_ch40:48
for particle i:
    nb = knn(i)
    local = read(pt_energy, deltaR, pid_charge, edge(i, nb))
    write_local(local, axis='W/Z structured-prong axis')","class_grad:label_Wqq=1.1670, label_Zqq=0.9496, label_Hcc=0.9443 | global_gate_abs=0.7156 | relation_hits=2 | stream_hits=30 | class_grads=label_Wqq:1.1670, label_Zqq:0.9496, label_Hcc:0.9443, label_H4q:0.8881, label_QCD:0.6787",0.715566657370073,1.1669776737689972,HIGH_CANDIDATE,"semantic pseudocode; needs route trace, residual v2, heldout/cross-model",route-neighbor trace; head-pair synergy; per-file heldout; residual v2,edge_convs.0,"output[:, 40:48, :]","[160, 64, 128]",2.821807384490967,label_Tbqq,0.5538260142008467,0.16484375,0.16484375,label_Tbqq,0.12917451945076389,early local/context feature builder over non-leading neighbor particles,"writes strongest output for label_Tbqq; top activation particle matches leading-pT 0.16, particle0 0.16","# L0_ch40:48: L0 output-aware pseudocode
for particle i:
    nb = knn(i)
    local = read_raw_edge_features(i, nb)
    score = detect_local_pattern(local)
    write_L0_channels(score)  # output role: early local/context feature builder over non-leading neighbor particles; top_class=label_Tbqq; lead_match=0.16",context builder / relay away from direct core readout,,,,,,"label_Hgg:2, label_Hcc:1, label_QCD:1, label_Wqq:1","label_Hcc:2, label_Tbqq:2, label_H4q:2, label_Hgg:1",0.0,0.0,0.0,0.0,,"Q1_core_readout, Q2_local_builders, Q4_trace_priority","# L0_ch40:48: route-aware L0 local builder
for particle i:
    neighbors = knn(i, k=16)
    edge = compare_raw_particle_features(i, neighbors)
    local_pattern = detect_local_pid_pt_radial_edge(edge)
    write_L0_local_pattern(local_pattern)
    # role: context builder / relay away from direct core readout; classes: label_Hgg:2, label_Hcc:1, label_QCD:1, label_Wqq:1",ROUTE_TRACE_V1_AVAILABLE,RESIDUAL_SIGNAL_REMAINS
L0_ch0:8,0,0:8,L0 early local reader,raw particles + KNN edge coordinates,"pt/energy, deltaR, PID/charge, neighbor edge differences",build KNN edge features -> detect local core/radial/PID pattern -> write local evidence,local particle-edge features for L1,Hqql/Tbl core-confusion axis,core/top-k content with KNN/secondary context; not literal order index,Hqql/Tbl core-confusion axis; residual remains,"# L0_ch0:8
for particle i:
    nb = knn(i)
    local = read(pt_energy, deltaR, pid_charge, edge(i, nb))
    write_local(local, axis='Hqql/Tbl core-confusion axis')","class_grad:label_H4q=1.1571, label_Hqql=0.5866, label_QCD=0.5120 | global_gate_abs=0.2042 | relation_hits=3 | stream_hits=30 | class_grads=label_H4q:1.1571, label_Hqql:0.5866, label_QCD:0.5120, label_Tbl:0.3306, label_Hcc:0.3104",0.20418599925615105,1.1570508629083633,HIGH_CANDIDATE,"semantic pseudocode; needs route trace, residual v2, heldout/cross-model",route-neighbor trace; head-pair synergy; per-file heldout; residual v2,edge_convs.0,"output[:, 0:8, :]","[160, 64, 128]",3.232450008392334,label_Tbqq,0.3261280589633522,0.003125,0.003125,label_Hqql,-0.2814148652878877,early local/context feature builder over non-leading neighbor particles,"writes strongest output for label_Tbqq; top activation particle matches leading-pT 0.00, particle0 0.00","# L0_ch0:8: L0 output-aware pseudocode
for particle i:
    nb = knn(i)
    local = read_raw_edge_features(i, nb)
    score = detect_local_pattern(local)
    write_L0_channels(score)  # output role: early local/context feature builder over non-leading neighbor particles; top_class=label_Tbqq; lead_match=0.00",context builder / relay away from direct core readout,,,,,,,,,,,,,"Q2_local_builders, Q3_residual_axis, Q4_trace_priority","# L0_ch0:8: route-aware L0 local builder
for particle i:
    neighbors = knn(i, k=16)
    edge = compare_raw_particle_features(i, neighbors)
    local_pattern = detect_local_pid_pt_radial_edge(edge)
    write_L0_local_pattern(local_pattern)
    # role: context builder / relay away from direct core readout; classes: ",NEEDS_EDGE_CONV_INNER_TRACE_V2,RESIDUAL_SIGNAL_REMAINS
L0_ch48:56,0,48:56,L0 early local reader,raw particles + KNN edge coordinates,"pt/energy, deltaR, PID/charge, neighbor edge differences",build KNN edge features -> detect local core/radial/PID pattern -> write local evidence,local particle-edge features for L1,Hqql/Tbl core-confusion axis,core/top-k content with KNN/secondary context; not literal order index,Hqql/Tbl core-confusion axis; residual remains,"# L0_ch48:56
for particle i:
    nb = knn(i)
    local = read(pt_energy, deltaR, pid_charge, edge(i, nb))
    write_local(local, axis='Hqql/Tbl core-confusion axis')","class_grad:label_H4q=0.9793, label_QCD=0.8989, label_Tbl=0.8825 | global_gate_abs=0.3769 | relation_hits=2 | stream_hits=30 | class_grads=label_H4q:0.9793, label_QCD:0.8989, label_Tbl:0.8825, label_Hqql:0.4893, label_Hcc:0.4175",0.3768698421619773,0.979293055832386,MEDIUM_CANDIDATE,"semantic pseudocode; needs route trace, residual v2, heldout/cross-model",route-neighbor trace; head-pair synergy; per-file heldout; residual v2,edge_convs.0,"output[:, 48:56, :]","[160, 64, 128]",1.707543134689331,label_Tbqq,0.4500719176398382,0.04609375,0.04609375,label_Tbqq,0.19982427555319202,early local/context feature builder over non-leading neighbor particles,"writes strongest output for label_Tbqq; top activation particle matches leading-pT 0.05, particle0 0.05","# L0_ch48:56: L0 output-aware pseudocode
for particle i:
    nb = knn(i)
    local = read_raw_edge_features(i, nb)
    score = detect_local_pattern(local)
    write_L0_channels(score)  # output role: early local/context feature builder over non-leading neighbor particles; top_class=label_Tbqq; lead_match=0.05",context builder / relay away from direct core readout,,,,,,,,,,,,,"Q2_local_builders, Q3_residual_axis, Q4_trace_priority","# L0_ch48:56: route-aware L0 local builder
for particle i:
    neighbors = knn(i, k=16)
    edge = compare_raw_particle_features(i, neighbors)
    local_pattern = detect_local_pid_pt_radial_edge(edge)
    write_L0_local_pattern(local_pattern)
    # role: context builder / relay away from direct core readout; classes: ",NEEDS_EDGE_CONV_INNER_TRACE_V2,RESIDUAL_SIGNAL_REMAINS
L0_ch16:24,0,16:24,L0 early local reader,raw particles + KNN edge coordinates,"pt/energy, deltaR, PID/charge, neighbor edge differences",build KNN edge features -> detect local core/radial/PID pattern -> write local evidence,local particle-edge features for L1,Hqql/Tbl core-confusion axis,core/top-k content with KNN/secondary context; not literal order index,Hqql/Tbl core-confusion axis; residual remains,"# L0_ch16:24
for particle i:
    nb = knn(i)
    local = read(pt_energy, deltaR, pid_charge, edge(i, nb))
    write_local(local, axis='Hqql/Tbl core-confusion axis')","class_grad:label_H4q=0.9509, label_Tbl=0.3513, label_Hcc=0.3307 | global_gate_abs=0.0896 | relation_hits=2 | stream_hits=30 | class_grads=label_H4q:0.9509, label_Tbl:0.3513, label_Hcc:0.3307, label_Zqq:0.2983, label_Hqql:0.2765",0.08959298154077243,0.9508500173687935,MEDIUM_CANDIDATE,"semantic pseudocode; needs route trace, residual v2, heldout/cross-model",route-neighbor trace; head-pair synergy; per-file heldout; residual v2,edge_convs.0,"output[:, 16:24, :]","[160, 64, 128]",1.7898666858673096,label_Tbqq,1.013950082990858,0.01953125,0.01953125,label_Tbqq,0.22989370032368764,early local/context feature builder over non-leading neighbor particles,"writes strongest output for label_Tbqq; top activation particle matches leading-pT 0.02, particle0 0.02","# L0_ch16:24: L0 output-aware pseudocode
for particle i:
    nb = knn(i)
    local = read_raw_edge_features(i, nb)
    score = detect_local_pattern(local)
    write_L0_channels(score)  # output role: early local/context feature builder over non-leading neighbor particles; top_class=label_Tbqq; lead_match=0.02",context builder / relay away from direct core readout,,,,,,,,,,,,,"Q2_local_builders, Q3_residual_axis","# L0_ch16:24: route-aware L0 local builder
for particle i:
    neighbors = knn(i, k=16)
    edge = compare_raw_particle_features(i, neighbors)
    local_pattern = detect_local_pid_pt_radial_edge(edge)
    write_L0_local_pattern(local_pattern)
    # role: context builder / relay away from direct core readout; classes: ",NEEDS_EDGE_CONV_INNER_TRACE_V2,RESIDUAL_SIGNAL_REMAINS
L0_ch24:32,0,24:32,L0 early local reader,raw particles + KNN edge coordinates,"pt/energy, deltaR, PID/charge, neighbor edge differences",build KNN edge features -> detect local core/radial/PID pattern -> write local evidence,local particle-edge features for L1,Hqql/Tbl core-confusion axis,core/top-k content with KNN/secondary context; not literal order index,Hqql/Tbl core-confusion axis; residual remains,"# L0_ch24:32
for particle i:
    nb = knn(i)
    local = read(pt_energy, deltaR, pid_charge, edge(i, nb))
    write_local(local, axis='Hqql/Tbl core-confusion axis')","class_grad:label_Wqq=0.7906, label_Hqql=0.3870, label_H4q=0.2608 | global_gate_abs=0.2271 | relation_hits=2 | stream_hits=30 | class_grads=label_Wqq:0.7906, label_Hqql:0.3870, label_H4q:0.2608, label_Tbl:0.2569, label_Hcc:0.2532",0.22714711990847689,0.7905941233038902,MEDIUM_CANDIDATE,"semantic pseudocode; needs route trace, residual v2, heldout/cross-model",route-neighbor trace; head-pair synergy; per-file heldout; residual v2,edge_convs.0,"output[:, 24:32, :]","[160, 64, 128]",1.334778070449829,label_QCD,0.3859445783827038,0.0796875,0.0796875,label_H4q,-0.12252529582934492,early local/context feature builder over non-leading neighbor particles,"writes strongest output for label_QCD; top activation particle matches leading-pT 0.08, particle0 0.08","# L0_ch24:32: L0 output-aware pseudocode
for particle i:
    nb = knn(i)
    local = read_raw_edge_features(i, nb)
    score = detect_local_pattern(local)
    write_L0_channels(score)  # output role: early local/context feature builder over non-leading neighbor particles; top_class=label_QCD; lead_match=0.08",context builder / relay away from direct core readout,,,,,,,,,,,,,Q2_local_builders,"# L0_ch24:32: route-aware L0 local builder
for particle i:
    neighbors = knn(i, k=16)
    edge = compare_raw_particle_features(i, neighbors)
    local_pattern = detect_local_pid_pt_radial_edge(edge)
    write_L0_local_pattern(local_pattern)
    # role: context builder / relay away from direct core readout; classes: ",NEEDS_EDGE_CONV_INNER_TRACE_V2,RESIDUAL_SIGNAL_REMAINS
L0_ch8:16,0,8:16,L0 early local reader,raw particles + KNN edge coordinates,"pt/energy, deltaR, PID/charge, neighbor edge differences",build KNN edge features -> detect local core/radial/PID pattern -> write local evidence,local particle-edge features for L1,Hqql/Tbl core-confusion axis,core/top-k content with KNN/secondary context; not literal order index,Hqql/Tbl core-confusion axis; residual remains,"# L0_ch8:16
for particle i:
    nb = knn(i)
    local = read(pt_energy, deltaR, pid_charge, edge(i, nb))
    write_local(local, axis='Hqql/Tbl core-confusion axis')","class_grad:label_Tbl=0.7731, label_Hcc=0.7574, label_Zqq=0.6469 | global_gate_abs=0.3577 | relation_hits=2 | stream_hits=30 | class_grads=label_Tbl:0.7731, label_Hcc:0.7574, label_Zqq:0.6469, label_Wqq:0.5422, label_Hqql:0.2834",0.3576639466715291,0.7731169201433659,MEDIUM_CANDIDATE,"semantic pseudocode; needs route trace, residual v2, heldout/cross-model",route-neighbor trace; head-pair synergy; per-file heldout; residual v2,edge_convs.0,"output[:, 8:16, :]","[160, 64, 128]",1.832708716392517,label_Tbqq,0.8413112428453235,0.0078125,0.0078125,label_Tbqq,0.2793715363385943,early local/context feature builder over non-leading neighbor particles,"writes strongest output for label_Tbqq; top activation particle matches leading-pT 0.01, particle0 0.01","# L0_ch8:16: L0 output-aware pseudocode
for particle i:
    nb = knn(i)
    local = read_raw_edge_features(i, nb)
    score = detect_local_pattern(local)
    write_L0_channels(score)  # output role: early local/context feature builder over non-leading neighbor particles; top_class=label_Tbqq; lead_match=0.01",context builder / relay away from direct core readout,,,,,,,,,,,,,Q2_local_builders,"# L0_ch8:16: route-aware L0 local builder
for particle i:
    neighbors = knn(i, k=16)
    edge = compare_raw_particle_features(i, neighbors)
    local_pattern = detect_local_pid_pt_radial_edge(edge)
    write_L0_local_pattern(local_pattern)
    # role: context builder / relay away from direct core readout; classes: ",NEEDS_EDGE_CONV_INNER_TRACE_V2,RESIDUAL_SIGNAL_REMAINS
L0_ch56:64,0,56:64,L0 early local reader,raw particles + KNN edge coordinates,"pt/energy, deltaR, PID/charge, neighbor edge differences",build KNN edge features -> detect local core/radial/PID pattern -> write local evidence,local particle-edge features for L1,Hqql/Tbl core-confusion axis,core/top-k content with KNN/secondary context; not literal order index,Hqql/Tbl core-confusion axis; residual remains,"# L0_ch56:64
for particle i:
    nb = knn(i)
    local = read(pt_energy, deltaR, pid_charge, edge(i, nb))
    write_local(local, axis='Hqql/Tbl core-confusion axis')","class_grad:label_Hqql=0.4484, label_H4q=0.3784, label_Zqq=0.2666 | global_gate_abs=0.0186 | relation_hits=3 | stream_hits=30 | class_grads=label_Hqql:0.4484, label_H4q:0.3784, label_Zqq:0.2666, label_Tbl:0.1801, label_Hcc:0.0961",0.018621155667642587,0.448392778635025,MEDIUM_CANDIDATE,"semantic pseudocode; needs route trace, residual v2, heldout/cross-model",route-neighbor trace; head-pair synergy; per-file heldout; residual v2,edge_convs.0,"output[:, 56:64, :]","[160, 64, 128]",2.4235427379608154,label_Tbqq,0.40656571918063733,0.003125,0.003125,label_Tbqq,0.25989459427868306,early local/context feature builder over non-leading neighbor particles,"writes strongest output for label_Tbqq; top activation particle matches leading-pT 0.00, particle0 0.00","# L0_ch56:64: L0 output-aware pseudocode
for particle i:
    nb = knn(i)
    local = read_raw_edge_features(i, nb)
    score = detect_local_pattern(local)
    write_L0_channels(score)  # output role: early local/context feature builder over non-leading neighbor particles; top_class=label_Tbqq; lead_match=0.00",context builder / relay away from direct core readout,,,,,,,,,,,,,,"# L0_ch56:64: route-aware L0 local builder
for particle i:
    neighbors = knn(i, k=16)
    edge = compare_raw_particle_features(i, neighbors)
    local_pattern = detect_local_pid_pt_radial_edge(edge)
    write_L0_local_pattern(local_pattern)
    # role: context builder / relay away from direct core readout; classes: ",NEEDS_EDGE_CONV_INNER_TRACE_V2,RESIDUAL_SIGNAL_REMAINS
L0_ch32:40,0,32:40,L0 early local reader,raw particles + KNN edge coordinates,"pt/energy, deltaR, PID/charge, neighbor edge differences",build KNN edge features -> detect local core/radial/PID pattern -> write local evidence,local particle-edge features for L1,W/Z structured-prong axis,core/top-k content with KNN/secondary context; not literal order index,W/Z structured-prong axis; residual remains,"# L0_ch32:40
for particle i:
    nb = knn(i)
    local = read(pt_energy, deltaR, pid_charge, edge(i, nb))
    write_local(local, axis='W/Z structured-prong axis')","class_grad:label_QCD=0.2724, label_Hcc=0.2370, label_Zqq=0.1604 | global_gate_abs=0.1125 | relation_hits=2 | stream_hits=30 | class_grads=label_QCD:0.2724, label_Hcc:0.2370, label_Zqq:0.1604, label_Hqql:0.0554, label_Wqq:0.0495",0.11246960707576363,0.2724107075482607,LOW_NEEDS_MORE_EVIDENCE,"semantic pseudocode; needs route trace, residual v2, heldout/cross-model",route-neighbor trace; head-pair synergy; per-file heldout; residual v2,edge_convs.0,"output[:, 32:40, :]","[160, 64, 128]",1.3153489828109741,label_QCD,0.4784753057691784,0.11953125,0.11953125,label_Hqql,-0.3182668702367536,early local/context feature builder over non-leading neighbor particles,"writes strongest output for label_QCD; top activation particle matches leading-pT 0.12, particle0 0.12","# L0_ch32:40: L0 output-aware pseudocode
for particle i:
    nb = knn(i)
    local = read_raw_edge_features(i, nb)
    score = detect_local_pattern(local)
    write_L0_channels(score)  # output role: early local/context feature builder over non-leading neighbor particles; top_class=label_QCD; lead_match=0.12",context builder / relay away from direct core readout,,,,,,,,,,,,,,"# L0_ch32:40: route-aware L0 local builder
for particle i:
    neighbors = knn(i, k=16)
    edge = compare_raw_particle_features(i, neighbors)
    local_pattern = detect_local_pid_pt_radial_edge(edge)
    write_L0_local_pattern(local_pattern)
    # role: context builder / relay away from direct core readout; classes: ",NEEDS_EDGE_CONV_INNER_TRACE_V2,RESIDUAL_SIGNAL_REMAINS
L1_ch16:32,1,16:32,L1 middle context relay,L0 local edge features already mixed,"L0 local features, top-k core, neighbor context, wide particles",read L0 evidence -> mix core with neighborhood/secondary context -> route class evidence,core+context vectors for L2,W/Z structured-prong axis,core/top-k content with KNN/secondary context; not literal order index,W/Z structured-prong axis; residual remains,"# L1_ch16:32
for neighborhood i:
    local = read_L0(i)
    context = mix(topk_core(i), neighbors(i), secondary_context(i))
    write_context(context, axis='W/Z structured-prong axis')","class_grad:label_Wqq=1.6597, label_Zqq=1.0984, label_H4q=0.9520 | global_gate_abs=0.7480 | relation_hits=2 | stream_hits=30 | class_grads=label_Wqq:1.6597, label_Zqq:1.0984, label_H4q:0.9520, label_Hcc:0.8966, label_QCD:0.6487",0.748019616522652,1.659661129117012,HIGH_CANDIDATE,"semantic pseudocode; needs route trace, residual v2, heldout/cross-model",route-neighbor trace; head-pair synergy; per-file heldout; residual v2,edge_convs.1,"output[:, 16:32, :]","[160, 128, 128]",2.0420336723327637,label_QCD,0.16127056545681384,0.03828125,0.03828125,label_QCD,0.10701149429051597,middle context relay mostly away from literal leading particle,"writes strongest output for label_QCD; top activation particle matches leading-pT 0.04, particle0 0.04","# L1_ch16:32: L1 output-aware pseudocode
for particle/neighborhood i:
    l0 = read_L0_local_features(i)
    ctx = mix_neighbors_core_and_secondary(l0)
    write_L1_context(ctx)  # output role: middle context relay mostly away from literal leading particle; particle0_top=0.04; top_class=label_QCD",context builder / relay away from direct core readout,,,,,,,,,,,,,"Q2_local_builders, Q4_trace_priority","# L1_ch16:32: route-aware L1 context relay
for particle i:
    neighbors = knn(i, k=16)
    l0_context = read_L0_edge_features(i, neighbors)
    route_context = mix_core_and_secondary(l0_context)
    write_L1_context(route_context)
    # role: context builder / relay away from direct core readout; top_event_particles_core_rate=n/a",NEEDS_EDGE_CONV_INNER_TRACE_V2,RESIDUAL_SIGNAL_REMAINS
L1_ch32:48,1,32:48,L1 middle context relay,L0 local edge features already mixed,"L0 local features, top-k core, neighbor context, wide particles",read L0 evidence -> mix core with neighborhood/secondary context -> route class evidence,core+context vectors for L2,Hqql/Tbl core-confusion axis,core/top-k content with KNN/secondary context; not literal order index,Hqql/Tbl core-confusion axis; residual remains,"# L1_ch32:48
for neighborhood i:
    local = read_L0(i)
    context = mix(topk_core(i), neighbors(i), secondary_context(i))
    write_context(context, axis='Hqql/Tbl core-confusion axis')","class_grad:label_Tbl=1.3994, label_QCD=0.5415, label_Hqql=0.5251 | global_gate_abs=0.2108 | relation_hits=2 | stream_hits=30 | class_grads=label_Tbl:1.3994, label_QCD:0.5415, label_Hqql:0.5251, label_H4q:0.5031, label_Zqq:0.2462",0.21075477813137686,1.3993553072214127,HIGH_CANDIDATE,"semantic pseudocode; needs route trace, residual v2, heldout/cross-model",route-neighbor trace; head-pair synergy; per-file heldout; residual v2,edge_convs.1,"output[:, 32:48, :]","[160, 128, 128]",2.301065444946289,label_Tbqq,0.6439822779761419,0.065625,0.065625,label_Hqql,-0.2501352059950837,middle context relay mostly away from literal leading particle,"writes strongest output for label_Tbqq; top activation particle matches leading-pT 0.07, particle0 0.07","# L1_ch32:48: L1 output-aware pseudocode
for particle/neighborhood i:
    l0 = read_L0_local_features(i)
    ctx = mix_neighbors_core_and_secondary(l0)
    write_L1_context(ctx)  # output role: middle context relay mostly away from literal leading particle; particle0_top=0.07; top_class=label_Tbqq",context builder / relay away from direct core readout,,,,,,,,,,,,,"Q2_local_builders, Q3_residual_axis, Q4_trace_priority","# L1_ch32:48: route-aware L1 context relay
for particle i:
    neighbors = knn(i, k=16)
    l0_context = read_L0_edge_features(i, neighbors)
    route_context = mix_core_and_secondary(l0_context)
    write_L1_context(route_context)
    # role: context builder / relay away from direct core readout; top_event_particles_core_rate=n/a",NEEDS_EDGE_CONV_INNER_TRACE_V2,RESIDUAL_SIGNAL_REMAINS
