head_id,layer,channels,stage_role,input_state,likely_operation,particle_question,class_question,evidence_sources,pseudocode,physics_meaning,risks,next_test
L0_ch0:8,0,0:8,early local edge/particle feature reader,raw particle kinematics/PID + KNN edge coordinates,"read local particle-edge geometry, PID/charge, pt/radial summaries; residual not fully explained by simple known observables",Which core/top-k/neighbor particles does this group read or route?,Hqql/Tbl core-confusion axis,"class_grad:label_H4q=1.1571, label_Hqql=0.5866, label_QCD=0.5120 | global_gate_abs=0.2042 | relation_hits=3 | stream_hits=30","# L0_ch0:8: early reader
for particle i:
    edge = knn_edges(i)
    local = read(pt, deltaR, PID, charge, neighbor_features)
    write_local_features(local)  # supports Hqql/Tbl core-confusion axis",candidate mechanism for Hqql/Tbl core-confusion axis after prior layer transformations,"simple known-observable surrogate incomplete; semantic pseudocode, not literal model source",route-neighbor trace + heldout/per-file stability
L0_ch16:24,0,16:24,early local edge/particle feature reader,raw particle kinematics/PID + KNN edge coordinates,"read local particle-edge geometry, PID/charge, pt/radial summaries; residual not fully explained by simple known observables",Which core/top-k/neighbor particles does this group read or route?,Tbl leading-core signature,"class_grad:label_H4q=0.9509, label_Tbl=0.3513, label_Hcc=0.3307 | global_gate_abs=0.0896 | relation_hits=2 | stream_hits=30","# L0_ch16:24: early reader
for particle i:
    edge = knn_edges(i)
    local = read(pt, deltaR, PID, charge, neighbor_features)
    write_local_features(local)  # supports Tbl leading-core signature",candidate mechanism for Tbl leading-core signature after prior layer transformations,"simple known-observable surrogate incomplete; semantic pseudocode, not literal model source",route-neighbor trace + heldout/per-file stability
L0_ch24:32,0,24:32,early local edge/particle feature reader,raw particle kinematics/PID + KNN edge coordinates,"read local particle-edge geometry, PID/charge, pt/radial summaries; residual not fully explained by simple known observables",Which core/top-k/neighbor particles does this group read or route?,Hqql core/top-k separation,"class_grad:label_Wqq=0.7906, label_Hqql=0.3870, label_H4q=0.2608 | global_gate_abs=0.2271 | relation_hits=2 | stream_hits=30","# L0_ch24:32: early reader
for particle i:
    edge = knn_edges(i)
    local = read(pt, deltaR, PID, charge, neighbor_features)
    write_local_features(local)  # supports Hqql core/top-k separation",candidate mechanism for Hqql core/top-k separation after prior layer transformations,"simple known-observable surrogate incomplete; semantic pseudocode, not literal model source",route-neighbor trace + heldout/per-file stability
L0_ch32:40,0,32:40,early local edge/particle feature reader,raw particle kinematics/PID + KNN edge coordinates,"read local particle-edge geometry, PID/charge, pt/radial summaries; residual not fully explained by simple known observables",Which core/top-k/neighbor particles does this group read or route?,W/Z two-prong-like separation,"class_grad:label_QCD=0.2724, label_Hcc=0.2370, label_Zqq=0.1604 | global_gate_abs=0.1125 | relation_hits=2 | stream_hits=30","# L0_ch32:40: early reader
for particle i:
    edge = knn_edges(i)
    local = read(pt, deltaR, PID, charge, neighbor_features)
    write_local_features(local)  # supports W/Z two-prong-like separation",candidate mechanism for W/Z two-prong-like separation after prior layer transformations,"simple known-observable surrogate incomplete; semantic pseudocode, not literal model source",route-neighbor trace + heldout/per-file stability
L0_ch40:48,0,40:48,early local edge/particle feature reader,raw particle kinematics/PID + KNN edge coordinates,"read local particle-edge geometry, PID/charge, pt/radial summaries; residual not fully explained by simple known observables",Which core/top-k/neighbor particles does this group read or route?,Hqql core/top-k separation,"class_grad:label_Wqq=1.1670, label_Zqq=0.9496, label_Hcc=0.9443 | global_gate_abs=0.7156 | relation_hits=2 | stream_hits=30","# L0_ch40:48: early reader
for particle i:
    edge = knn_edges(i)
    local = read(pt, deltaR, PID, charge, neighbor_features)
    write_local_features(local)  # supports Hqql core/top-k separation",candidate mechanism for Hqql core/top-k separation after prior layer transformations,"simple known-observable surrogate incomplete; semantic pseudocode, not literal model source",route-neighbor trace + heldout/per-file stability
L0_ch48:56,0,48:56,early local edge/particle feature reader,raw particle kinematics/PID + KNN edge coordinates,"read local particle-edge geometry, PID/charge, pt/radial summaries; residual not fully explained by simple known observables",Which core/top-k/neighbor particles does this group read or route?,Tbl leading-core signature,"class_grad:label_H4q=0.9793, label_QCD=0.8989, label_Tbl=0.8825 | global_gate_abs=0.3769 | relation_hits=2 | stream_hits=30","# L0_ch48:56: early reader
for particle i:
    edge = knn_edges(i)
    local = read(pt, deltaR, PID, charge, neighbor_features)
    write_local_features(local)  # supports Tbl leading-core signature",candidate mechanism for Tbl leading-core signature after prior layer transformations,"simple known-observable surrogate incomplete; semantic pseudocode, not literal model source",route-neighbor trace + heldout/per-file stability
L0_ch56:64,0,56:64,early local edge/particle feature reader,raw particle kinematics/PID + KNN edge coordinates,"read local particle-edge geometry, PID/charge, pt/radial summaries; residual not fully explained by simple known observables",Which core/top-k/neighbor particles does this group read or route?,Hqql core/top-k separation,"class_grad:label_Hqql=0.4484, label_H4q=0.3784, label_Zqq=0.2666 | global_gate_abs=0.0186 | relation_hits=3 | stream_hits=30","# L0_ch56:64: early reader
for particle i:
    edge = knn_edges(i)
    local = read(pt, deltaR, PID, charge, neighbor_features)
    write_local_features(local)  # supports Hqql core/top-k separation",candidate mechanism for Hqql core/top-k separation after prior layer transformations,"simple known-observable surrogate incomplete; semantic pseudocode, not literal model source",route-neighbor trace + heldout/per-file stability
L0_ch8:16,0,8:16,early local edge/particle feature reader,raw particle kinematics/PID + KNN edge coordinates,"read local particle-edge geometry, PID/charge, pt/radial summaries; residual not fully explained by simple known observables",Which core/top-k/neighbor particles does this group read or route?,Tbl leading-core signature,"class_grad:label_Tbl=0.7731, label_Hcc=0.7574, label_Zqq=0.6469 | global_gate_abs=0.3577 | relation_hits=2 | stream_hits=30","# L0_ch8:16: early reader
for particle i:
    edge = knn_edges(i)
    local = read(pt, deltaR, PID, charge, neighbor_features)
    write_local_features(local)  # supports Tbl leading-core signature",candidate mechanism for Tbl leading-core signature after prior layer transformations,"simple known-observable surrogate incomplete; semantic pseudocode, not literal model source",route-neighbor trace + heldout/per-file stability
L1_ch0:16,1,0:16,middle neighborhood/context relay,L0 local edge features already mixed into particle-neighborhood embeddings,compose core particle with KNN/secondary context and route class evidence; residual not fully explained by simple known observables,Which core/top-k/neighbor particles does this group read or route?,Hqql core/top-k separation,"class_grad:label_H4q=0.5761, label_Zqq=0.2802, label_Hcc=0.2169 | global_gate_abs=0.0146 | relation_hits=3 | stream_hits=30","# L1_ch0:16: middle relay
for particle/neighborhood i:
    core = read_topk_core_and_neighbors(i)
    context = mix(core, radial_shape, secondary_particles)
    route_evidence(context)  # likely Hqql core/top-k separation",candidate mechanism for Hqql core/top-k separation after prior layer transformations,"simple known-observable surrogate incomplete; semantic pseudocode, not literal model source",route-neighbor trace + heldout/per-file stability
L1_ch112:128,1,112:128,middle neighborhood/context relay,L0 local edge features already mixed into particle-neighborhood embeddings,compose core particle with KNN/secondary context and route class evidence; residual not fully explained by simple known observables,Which core/top-k/neighbor particles does this group read or route?,H4q/multi-prong attractor separation,"class_grad:label_Hcc=1.2414, label_H4q=0.9725, label_Wqq=0.9042 | global_gate_abs=0.8689 | relation_hits=2 | stream_hits=30","# L1_ch112:128: middle relay
for particle/neighborhood i:
    core = read_topk_core_and_neighbors(i)
    context = mix(core, radial_shape, secondary_particles)
    route_evidence(context)  # likely H4q/multi-prong attractor separation",candidate mechanism for H4q/multi-prong attractor separation after prior layer transformations,"simple known-observable surrogate incomplete; semantic pseudocode, not literal model source",route-neighbor trace + heldout/per-file stability
