suite,text,source,term,key_pos,T,pred_term_mean_on_key,predicted_mass_delta_sign,actual_mass_delta,actual_mass_delta_sign,sign_match,head_A_rel,head_Y_delta_rel,logit_rel,kl_orig_to_patch,top1_match,loss_delta
code,Write a Python function that reverses a linked list.,11:11,vo_bias,0,11,,0,0.0,0,,0.0,7.194308280944824,0.09867049008607864,0.10915322601795197,1.0,0.011829137802124023
code,Write a Python function that reverses a linked list.,11:11,vo_bias,1,11,,0,0.0,0,,0.0,7.194308280944824,0.09867049008607864,0.10915322601795197,1.0,0.011829137802124023
code,Write a Python function that reverses a linked list.,11:11,vo_bias,2,11,,0,0.0,0,,0.0,7.194308280944824,0.09867049008607864,0.10915322601795197,1.0,0.011829137802124023
code,Write a Python function that reverses a linked list.,11:11,vo_bias,3,11,,0,0.0,0,,0.0,7.194308280944824,0.09867049008607864,0.10915322601795197,1.0,0.011829137802124023
code,Write a Python function that reverses a linked list.,11:11,vo_bias,4,11,,0,0.0,0,,0.0,7.194308280944824,0.09867049008607864,0.10915322601795197,1.0,0.011829137802124023
code,Write a Python function that reverses a linked list.,11:11,vo_bias,8,11,,0,0.0,0,,0.0,7.194308280944824,0.09867049008607864,0.10915322601795197,1.0,0.011829137802124023
code,Write a Python function that reverses a linked list.,11:11,vo_bias,10,11,,0,0.0,0,,0.0,7.194308280944824,0.09867049008607864,0.10915322601795197,1.0,0.011829137802124023
code,Implement binary search over a sorted list in Python.,11:11,vo_bias,0,10,,0,0.0,0,,0.0,7.161393642425537,0.08014359325170517,0.1235087588429451,1.0,0.0714569091796875
code,Implement binary search over a sorted list in Python.,11:11,vo_bias,1,10,,0,0.0,0,,0.0,7.161393642425537,0.08014359325170517,0.1235087588429451,1.0,0.0714569091796875
code,Implement binary search over a sorted list in Python.,11:11,vo_bias,2,10,,0,0.0,0,,0.0,7.161393642425537,0.08014359325170517,0.1235087588429451,1.0,0.0714569091796875
code,Implement binary search over a sorted list in Python.,11:11,vo_bias,3,10,,0,0.0,0,,0.0,7.161393642425537,0.08014359325170517,0.1235087588429451,1.0,0.0714569091796875
code,Implement binary search over a sorted list in Python.,11:11,vo_bias,4,10,,0,0.0,0,,0.0,7.161393642425537,0.08014359325170517,0.1235087588429451,1.0,0.0714569091796875
