head_id,layer,channels,stage_role,pre_layer_state,reads,core_operation_steps,writes,class_axis,particle_interpretation,physics_interpretation,pseudocode,supporting_evidence,global_gate_abs,top_class_abs_grad,confidence_level,remaining_risks,next_tests
L0_ch40:48,0,40:48,L0 early local reader,raw particles + KNN edge coordinates,"pt/energy, deltaR, PID/charge, neighbor edge differences",build KNN edge features -> detect local core/radial/PID pattern -> write local evidence,local particle-edge features for L1,W/Z structured-prong axis,core/top-k content with KNN/secondary context; not literal order index,W/Z structured-prong axis; residual remains,"# L0_ch40:48
for particle i:
    nb = knn(i)
    local = read(pt_energy, deltaR, pid_charge, edge(i, nb))
    write_local(local, axis='W/Z structured-prong axis')","class_grad:label_Wqq=1.1670, label_Zqq=0.9496, label_Hcc=0.9443 | global_gate_abs=0.7156 | relation_hits=2 | stream_hits=30 | class_grads=label_Wqq:1.1670, label_Zqq:0.9496, label_Hcc:0.9443, label_H4q:0.8881, label_QCD:0.6787",0.715566657370073,1.1669776737689972,HIGH_CANDIDATE,"semantic pseudocode; needs route trace, residual v2, heldout/cross-model",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
L0_ch0:8,0,0:8,L0 early local reader,raw particles + KNN edge coordinates,"pt/energy, deltaR, PID/charge, neighbor edge differences",build KNN edge features -> detect local core/radial/PID pattern -> write local evidence,local particle-edge features for L1,Hqql/Tbl core-confusion axis,core/top-k content with KNN/secondary context; not literal order index,Hqql/Tbl core-confusion axis; residual remains,"# L0_ch0:8
for particle i:
    nb = knn(i)
    local = read(pt_energy, deltaR, pid_charge, edge(i, nb))
    write_local(local, axis='Hqql/Tbl core-confusion axis')","class_grad:label_H4q=1.1571, label_Hqql=0.5866, label_QCD=0.5120 | global_gate_abs=0.2042 | relation_hits=3 | stream_hits=30 | class_grads=label_H4q:1.1571, label_Hqql:0.5866, label_QCD:0.5120, label_Tbl:0.3306, label_Hcc:0.3104",0.20418599925615105,1.1570508629083633,HIGH_CANDIDATE,"semantic pseudocode; needs route trace, residual v2, heldout/cross-model",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
L0_ch48:56,0,48:56,L0 early local reader,raw particles + KNN edge coordinates,"pt/energy, deltaR, PID/charge, neighbor edge differences",build KNN edge features -> detect local core/radial/PID pattern -> write local evidence,local particle-edge features for L1,Hqql/Tbl core-confusion axis,core/top-k content with KNN/secondary context; not literal order index,Hqql/Tbl core-confusion axis; residual remains,"# L0_ch48:56
for particle i:
    nb = knn(i)
    local = read(pt_energy, deltaR, pid_charge, edge(i, nb))
    write_local(local, axis='Hqql/Tbl core-confusion axis')","class_grad:label_H4q=0.9793, label_QCD=0.8989, label_Tbl=0.8825 | global_gate_abs=0.3769 | relation_hits=2 | stream_hits=30 | class_grads=label_H4q:0.9793, label_QCD:0.8989, label_Tbl:0.8825, label_Hqql:0.4893, label_Hcc:0.4175",0.3768698421619773,0.979293055832386,MEDIUM_CANDIDATE,"semantic pseudocode; needs route trace, residual v2, heldout/cross-model",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
L0_ch16:24,0,16:24,L0 early local reader,raw particles + KNN edge coordinates,"pt/energy, deltaR, PID/charge, neighbor edge differences",build KNN edge features -> detect local core/radial/PID pattern -> write local evidence,local particle-edge features for L1,Hqql/Tbl core-confusion axis,core/top-k content with KNN/secondary context; not literal order index,Hqql/Tbl core-confusion axis; residual remains,"# L0_ch16:24
for particle i:
    nb = knn(i)
    local = read(pt_energy, deltaR, pid_charge, edge(i, nb))
    write_local(local, axis='Hqql/Tbl core-confusion axis')","class_grad:label_H4q=0.9509, label_Tbl=0.3513, label_Hcc=0.3307 | global_gate_abs=0.0896 | relation_hits=2 | stream_hits=30 | class_grads=label_H4q:0.9509, label_Tbl:0.3513, label_Hcc:0.3307, label_Zqq:0.2983, label_Hqql:0.2765",0.08959298154077243,0.9508500173687935,MEDIUM_CANDIDATE,"semantic pseudocode; needs route trace, residual v2, heldout/cross-model",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
L0_ch24:32,0,24:32,L0 early local reader,raw particles + KNN edge coordinates,"pt/energy, deltaR, PID/charge, neighbor edge differences",build KNN edge features -> detect local core/radial/PID pattern -> write local evidence,local particle-edge features for L1,Hqql/Tbl core-confusion axis,core/top-k content with KNN/secondary context; not literal order index,Hqql/Tbl core-confusion axis; residual remains,"# L0_ch24:32
for particle i:
    nb = knn(i)
    local = read(pt_energy, deltaR, pid_charge, edge(i, nb))
    write_local(local, axis='Hqql/Tbl core-confusion axis')","class_grad:label_Wqq=0.7906, label_Hqql=0.3870, label_H4q=0.2608 | global_gate_abs=0.2271 | relation_hits=2 | stream_hits=30 | class_grads=label_Wqq:0.7906, label_Hqql:0.3870, label_H4q:0.2608, label_Tbl:0.2569, label_Hcc:0.2532",0.22714711990847689,0.7905941233038902,MEDIUM_CANDIDATE,"semantic pseudocode; needs route trace, residual v2, heldout/cross-model",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
L0_ch8:16,0,8:16,L0 early local reader,raw particles + KNN edge coordinates,"pt/energy, deltaR, PID/charge, neighbor edge differences",build KNN edge features -> detect local core/radial/PID pattern -> write local evidence,local particle-edge features for L1,Hqql/Tbl core-confusion axis,core/top-k content with KNN/secondary context; not literal order index,Hqql/Tbl core-confusion axis; residual remains,"# L0_ch8:16
for particle i:
    nb = knn(i)
    local = read(pt_energy, deltaR, pid_charge, edge(i, nb))
    write_local(local, axis='Hqql/Tbl core-confusion axis')","class_grad:label_Tbl=0.7731, label_Hcc=0.7574, label_Zqq=0.6469 | global_gate_abs=0.3577 | relation_hits=2 | stream_hits=30 | class_grads=label_Tbl:0.7731, label_Hcc:0.7574, label_Zqq:0.6469, label_Wqq:0.5422, label_Hqql:0.2834",0.3576639466715291,0.7731169201433659,MEDIUM_CANDIDATE,"semantic pseudocode; needs route trace, residual v2, heldout/cross-model",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
L0_ch56:64,0,56:64,L0 early local reader,raw particles + KNN edge coordinates,"pt/energy, deltaR, PID/charge, neighbor edge differences",build KNN edge features -> detect local core/radial/PID pattern -> write local evidence,local particle-edge features for L1,Hqql/Tbl core-confusion axis,core/top-k content with KNN/secondary context; not literal order index,Hqql/Tbl core-confusion axis; residual remains,"# L0_ch56:64
for particle i:
    nb = knn(i)
    local = read(pt_energy, deltaR, pid_charge, edge(i, nb))
    write_local(local, axis='Hqql/Tbl core-confusion axis')","class_grad:label_Hqql=0.4484, label_H4q=0.3784, label_Zqq=0.2666 | global_gate_abs=0.0186 | relation_hits=3 | stream_hits=30 | class_grads=label_Hqql:0.4484, label_H4q:0.3784, label_Zqq:0.2666, label_Tbl:0.1801, label_Hcc:0.0961",0.018621155667642587,0.448392778635025,MEDIUM_CANDIDATE,"semantic pseudocode; needs route trace, residual v2, heldout/cross-model",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
L0_ch32:40,0,32:40,L0 early local reader,raw particles + KNN edge coordinates,"pt/energy, deltaR, PID/charge, neighbor edge differences",build KNN edge features -> detect local core/radial/PID pattern -> write local evidence,local particle-edge features for L1,W/Z structured-prong axis,core/top-k content with KNN/secondary context; not literal order index,W/Z structured-prong axis; residual remains,"# L0_ch32:40
for particle i:
    nb = knn(i)
    local = read(pt_energy, deltaR, pid_charge, edge(i, nb))
    write_local(local, axis='W/Z structured-prong axis')","class_grad:label_QCD=0.2724, label_Hcc=0.2370, label_Zqq=0.1604 | global_gate_abs=0.1125 | relation_hits=2 | stream_hits=30 | class_grads=label_QCD:0.2724, label_Hcc:0.2370, label_Zqq:0.1604, label_Hqql:0.0554, label_Wqq:0.0495",0.11246960707576363,0.2724107075482607,LOW_NEEDS_MORE_EVIDENCE,"semantic pseudocode; needs route trace, residual v2, heldout/cross-model",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
L1_ch16:32,1,16:32,L1 middle context relay,L0 local edge features already mixed,"L0 local features, top-k core, neighbor context, wide particles",read L0 evidence -> mix core with neighborhood/secondary context -> route class evidence,core+context vectors for L2,W/Z structured-prong axis,core/top-k content with KNN/secondary context; not literal order index,W/Z structured-prong axis; residual remains,"# L1_ch16:32
for neighborhood i:
    local = read_L0(i)
    context = mix(topk_core(i), neighbors(i), secondary_context(i))
    write_context(context, axis='W/Z structured-prong axis')","class_grad:label_Wqq=1.6597, label_Zqq=1.0984, label_H4q=0.9520 | global_gate_abs=0.7480 | relation_hits=2 | stream_hits=30 | class_grads=label_Wqq:1.6597, label_Zqq:1.0984, label_H4q:0.9520, label_Hcc:0.8966, label_QCD:0.6487",0.748019616522652,1.659661129117012,HIGH_CANDIDATE,"semantic pseudocode; needs route trace, residual v2, heldout/cross-model",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
L1_ch32:48,1,32:48,L1 middle context relay,L0 local edge features already mixed,"L0 local features, top-k core, neighbor context, wide particles",read L0 evidence -> mix core with neighborhood/secondary context -> route class evidence,core+context vectors for L2,Hqql/Tbl core-confusion axis,core/top-k content with KNN/secondary context; not literal order index,Hqql/Tbl core-confusion axis; residual remains,"# L1_ch32:48
for neighborhood i:
    local = read_L0(i)
    context = mix(topk_core(i), neighbors(i), secondary_context(i))
    write_context(context, axis='Hqql/Tbl core-confusion axis')","class_grad:label_Tbl=1.3994, label_QCD=0.5415, label_Hqql=0.5251 | global_gate_abs=0.2108 | relation_hits=2 | stream_hits=30 | class_grads=label_Tbl:1.3994, label_QCD:0.5415, label_Hqql:0.5251, label_H4q:0.5031, label_Zqq:0.2462",0.21075477813137686,1.3993553072214127,HIGH_CANDIDATE,"semantic pseudocode; needs route trace, residual v2, heldout/cross-model",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
